Date-Time,FB4.version,FB4.File_dir,FB4_Log_File,Species_Num,Species_txt,Values_from,Run_Name,Initial_W,fit.to,fit.to.value,First_day,Last_day,N_indiv,Oxycal,p-value,Total consumption (g),Final weight (g),Pop Number,Pop Biomass (g),Cum. Cons. Pop. (g),Run time (s),OK. Energy budget balanced.,T_File,Diet_prop_File,Prey_E_File,EGEQ,Indigestible_Prey,PREDEDEQ,Predator_ED,calc.pop_mort,Mortality_File,calc.spawn,Reproduction_File,calc.contaminant,Prey_conc_File,Contam_assim_File,Contam_trans_eff_File,Init_Pred-conc,Contam_EQ,calc.nut
Sun Jun 26 15:06:39 2022,v1.1.3,/Volumes/GoogleDrive/My Drive/UAF Semesters/Thesis/Current Draft/Chapter 1/submissions/new submission/v3_draft_TAFS_Meyer/v3_submission_format/kenai_juv_salmon_growth_analyses/other/FB4_1.1.3_2015_2016.1,FB4_2015_2016_models.csv,21,Chinook salmon (adult),design_2015_2016_final.csv,2015_Early Summer_Lower Kenai River_Chinook_Age_0,1.3709931,Weight,1.660589,1,31,1,13560,0.283203,3.232,1.661,1,1.661,3.232,0.381,0,chnk/2015_Early Summer_Lower Kenai River_Chinook_Age_0/Temperature.csv,chnk/2015_Early Summer_Lower Kenai River_Chinook_Age_0/Diet_prop.csv,chnk/2015_Early Summer_Lower Kenai River_Chinook_Age_0/Prey_E.csv,3,chnk/2015_Early Summer_Lower Kenai River_Chinook_Age_0/Indigestible_Prey.csv,2,ED = a+b*W,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE
Sun Jun 26 15:06:40 2022,v1.1.3,/Volumes/GoogleDrive/My Drive/UAF Semesters/Thesis/Current Draft/Chapter 1/submissions/new submission/v3_draft_TAFS_Meyer/v3_submission_format/kenai_juv_salmon_growth_analyses/other/FB4_1.1.3_2015_2016.1,FB4_2015_2016_models.csv,22,Coho salmon (adult),design_2015_2016_final.csv,2015_Early Summer_Lower Beaver Creek_Coho_Age_1,3.8584886,Weight,4.241751,1,24,1,13560,0.296127,5.348,4.242,1,4.242,5.348,0.994,0,coho/2015_Early Summer_Lower Beaver Creek_Coho_Age_1/Temperature.csv,coho/2015_Early Summer_Lower Beaver Creek_Coho_Age_1/Diet_prop.csv,coho/2015_Early Summer_Lower Beaver Creek_Coho_Age_1/Prey_E.csv,3,coho/2015_Early Summer_Lower Beaver Creek_Coho_Age_1/Indigestible_Prey.csv,2,ED = a+b*W,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE
Sun Jun 26 15:06:41 2022,v1.1.3,/Volumes/GoogleDrive/My Drive/UAF Semesters/Thesis/Current Draft/Chapter 1/submissions/new submission/v3_draft_TAFS_Meyer/v3_submission_format/kenai_juv_salmon_growth_analyses/other/FB4_1.1.3_2015_2016.1,FB4_2015_2016_models.csv,22,Coho salmon (adult),design_2015_2016_final.csv,2015_Early Summer_Middle Beaver Creek_Coho_Age_1,5.2129817,Weight,5.673064,1,36,1,13560,0.278519,9.555,5.673,1,5.673,9.555,1.26,0,coho/2015_Early Summer_Middle Beaver Creek_Coho_Age_1/Temperature.csv,coho/2015_Early Summer_Middle Beaver Creek_Coho_Age_1/Diet_prop.csv,coho/2015_Early Summer_Middle Beaver Creek_Coho_Age_1/Prey_E.csv,3,coho/2015_Early Summer_Middle Beaver Creek_Coho_Age_1/Indigestible_Prey.csv,2,ED = a+b*W,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE
Sun Jun 26 15:06:43 2022,v1.1.3,/Volumes/GoogleDrive/My Drive/UAF Semesters/Thesis/Current Draft/Chapter 1/submissions/new submission/v3_draft_TAFS_Meyer/v3_submission_format/kenai_juv_salmon_growth_analyses/other/FB4_1.1.3_2015_2016.1,FB4_2015_2016_models.csv,22,Coho salmon (adult),design_2015_2016_final.csv,2015_Early Summer_Middle Russian River_Coho_Age_0,1.1239285,Weight,1.439018,1,26,1,13560,0.31427,2.884,1.439,1,1.439,2.884,0.925,0,coho/2015_Early Summer_Middle Russian River_Coho_Age_0/Temperature.csv,coho/2015_Early Summer_Middle Russian River_Coho_Age_0/Diet_prop.csv,coho/2015_Early Summer_Middle Russian River_Coho_Age_0/Prey_E.csv,3,coho/2015_Early Summer_Middle Russian River_Coho_Age_0/Indigestible_Prey.csv,2,ED = a+b*W,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE
Sun Jun 26 15:06:44 2022,v1.1.3,/Volumes/GoogleDrive/My Drive/UAF Semesters/Thesis/Current Draft/Chapter 1/submissions/new submission/v3_draft_TAFS_Meyer/v3_submission_format/kenai_juv_salmon_growth_analyses/other/FB4_1.1.3_2015_2016.1,FB4_2015_2016_models.csv,22,Coho salmon (adult),design_2015_2016_final.csv,2015_Early Summer_Middle Russian River_Coho_Age_1,4.9591211,Weight,8.455798,1,26,1,13560,0.62751,18.848,8.456,1,8.456,18.848,1.6,0,coho/2015_Early Summer_Middle Russian River_Coho_Age_1/Temperature.csv,coho/2015_Early Summer_Middle Russian River_Coho_Age_1/Diet_prop.csv,coho/2015_Early Summer_Middle Russian River_Coho_Age_1/Prey_E.csv,3,coho/2015_Early Summer_Middle Russian River_Coho_Age_1/Indigestible_Prey.csv,2,ED = a+b*W,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE
Sun Jun 26 15:06:46 2022,v1.1.3,/Volumes/GoogleDrive/My Drive/UAF Semesters/Thesis/Current Draft/Chapter 1/submissions/new submission/v3_draft_TAFS_Meyer/v3_submission_format/kenai_juv_salmon_growth_analyses/other/FB4_1.1.3_2015_2016.1,FB4_2015_2016_models.csv,22,Coho salmon (adult),design_2015_2016_final.csv,2015_Early Summer_Upper Russian River_Coho_Age_0,0.9862471,Weight,1.611731,1,35,1,13560,0.347412,4.283,1.612,1,1.612,4.283,1.029,0,coho/2015_Early Summer_Upper Russian River_Coho_Age_0/Temperature.csv,coho/2015_Early Summer_Upper Russian River_Coho_Age_0/Diet_prop.csv,coho/2015_Early Summer_Upper Russian River_Coho_Age_0/Prey_E.csv,3,coho/2015_Early Summer_Upper Russian River_Coho_Age_0/Indigestible_Prey.csv,2,ED = a+b*W,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE
Sun Jun 26 15:06:47 2022,v1.1.3,/Volumes/GoogleDrive/My Drive/UAF Semesters/Thesis/Current Draft/Chapter 1/submissions/new submission/v3_draft_TAFS_Meyer/v3_submission_format/kenai_juv_salmon_growth_analyses/other/FB4_1.1.3_2015_2016.1,FB4_2015_2016_models.csv,22,Coho salmon (adult),design_2015_2016_final.csv,2015_Early Summer_Upper Russian River_Coho_Age_1,3.6828119,Weight,7.428955,1,35,1,13560,0.581573,20.273,7.429,1,7.429,20.273,0.836,0,coho/2015_Early Summer_Upper Russian River_Coho_Age_1/Temperature.csv,coho/2015_Early Summer_Upper Russian River_Coho_Age_1/Diet_prop.csv,coho/2015_Early Summer_Upper Russian River_Coho_Age_1/Prey_E.csv,3,coho/2015_Early Summer_Upper Russian River_Coho_Age_1/Indigestible_Prey.csv,2,ED = a+b*W,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE
Sun Jun 26 15:06:48 2022,v1.1.3,/Volumes/GoogleDrive/My Drive/UAF Semesters/Thesis/Current Draft/Chapter 1/submissions/new submission/v3_draft_TAFS_Meyer/v3_submission_format/kenai_juv_salmon_growth_analyses/other/FB4_1.1.3_2015_2016.1,FB4_2015_2016_models.csv,22,Coho salmon (adult),design_2015_2016_final.csv,2015_Early Summer_Lower Ptarmigan Creek_Coho_Age_1,4.2220785,Weight,5.041997,1,37,1,13560,0.278397,8.743,5.042,1,5.042,8.743,0.523,0,coho/2015_Early Summer_Lower Ptarmigan Creek_Coho_Age_1/Temperature.csv,coho/2015_Early Summer_Lower Ptarmigan Creek_Coho_Age_1/Diet_prop.csv,coho/2015_Early Summer_Lower Ptarmigan Creek_Coho_Age_1/Prey_E.csv,3,coho/2015_Early Summer_Lower Ptarmigan Creek_Coho_Age_1/Indigestible_Prey.csv,2,ED = a+b*W,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE
Sun Jun 26 15:06:49 2022,v1.1.3,/Volumes/GoogleDrive/My Drive/UAF Semesters/Thesis/Current Draft/Chapter 1/submissions/new submission/v3_draft_TAFS_Meyer/v3_submission_format/kenai_juv_salmon_growth_analyses/other/FB4_1.1.3_2015_2016.1,FB4_2015_2016_models.csv,22,Coho salmon (adult),design_2015_2016_final.csv,2015_Early Summer_Middle Ptarmigan Creek_Coho_Age_1,7.6373639,Weight,5.563584,1,22,1,13560,0.011749,0.283,5.563,1,5.563,0.283,0.337,0,coho/2015_Early Summer_Middle Ptarmigan Creek_Coho_Age_1/Temperature.csv,coho/2015_Early Summer_Middle Ptarmigan Creek_Coho_Age_1/Diet_prop.csv,coho/2015_Early Summer_Middle Ptarmigan Creek_Coho_Age_1/Prey_E.csv,3,coho/2015_Early Summer_Middle Ptarmigan Creek_Coho_Age_1/Indigestible_Prey.csv,2,ED = a+b*W,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE
Sun Jun 26 15:06:50 2022,v1.1.3,/Volumes/GoogleDrive/My Drive/UAF Semesters/Thesis/Current Draft/Chapter 1/submissions/new submission/v3_draft_TAFS_Meyer/v3_submission_format/kenai_juv_salmon_growth_analyses/other/FB4_1.1.3_2015_2016.1,FB4_2015_2016_models.csv,21,Chinook salmon (adult),design_2015_2016_final.csv,2016_Early Summer_Lower Russian River_Chinook_Age_0,1.3307592,Weight,3.216875,1,48,1,13560,0.312546,6.594,3.217,1,3.217,6.594,1.005,0,chnk/2016_Early Summer_Lower Russian River_Chinook_Age_0/Temperature.csv,chnk/2016_Early Summer_Lower Russian River_Chinook_Age_0/Diet_prop.csv,chnk/2016_Early Summer_Lower Russian River_Chinook_Age_0/Prey_E.csv,3,chnk/2016_Early Summer_Lower Russian River_Chinook_Age_0/Indigestible_Prey.csv,2,ED = a+b*W,FALSE,NA,FALSE,NA,FALSE,NA,NA,NA,NA,NA,FALSE
